,S537_AD1,S538_AD2,S539_AD3,S540_AD4,S541_AD5,S542_AD6,S958_AD1,S959_AD2,S960_AD3,S961_AD4,S962_AD5,S963_AD6,S1189_AD1,S1190_AD2,S1191_AD3,S1192_AD4,S1193_AD5,S1194_AD6,S1365_AD1,S1366_AD2,S1367_AD3,S1368_AD4,S1369_AD5,S1370_AD6
,#048,#049,#050,#051,#052,#053,#086,#087,#088,#089,#090,#091,#095,#096,#097,#098,#099,#100,#103,#104,#105,#106,#107,#108
2370.606,0.02714726,0.03204262,0.02609586,0.03258572,0.02062988,0.02411864,0.02902474,0.02425996,0.02687965,0.03429004,0.03534479,0.03300708,0.02165766,0.03015504,0.02910643,0.02914079,0.0321986,0.02931782,0.02871773,0.03047187,0.032437,0.03217227,0.0283807,0.03171644
2371.089,0.02716397,0.03207432,0.02609894,0.0326158,0.02067652,0.02417983,0.02910798,0.02431775,0.0268899,0.03436096,0.03534764,0.0329938,0.02163521,0.03010943,0.02906062,0.02919888,0.03226783,0.02936718,0.02877401,0.03048806,0.03247349,0.03217664,0.02838838,0.03172646
2371.571,0.02718672,0.03209503,0.02609839,0.03264497,0.02071752,0.02423511,0.0291837,0.02438037,0.02690615,0.03444492,0.03536727,0.03299342,0.02162496,0.03006385,0.02901829,0.02925136,0.03233008,0.0294044,0.02883714,0.0305164,0.0325099,0.0321706,0.02839221,0.03173159
2372.053,0.02721784,0.03211463,0.02610377,0.03268269,0.02075394,0.02428879,0.0292549,0.02444846,0.02693269,0.03454109,0.0354051,0.03300765,0.02162995,0.03002439,0.02898449,0.02929094,0.03237894,0.02942775,0.02890972,0.03055706,0.03254507,0.03215976,0.02839582,0.03173729
2372.535,0.02725782,0.03214759,0.02612196,0.03273927,0.02078755,0.02434422,0.02932615,0.0245236,0.02697356,0.03464941,0.0354619,0.03303707,0.02165058,0.02999908,0.02896232,0.02931616,0.03241218,0.02943993,0.02899344,0.03061155,0.03258225,0.03215014,0.02840349,0.03175157
2373.017,0.02730061,0.03219262,0.02615072,0.03280941,0.02081774,0.02439945,0.02939684,0.02460274,0.02702594,0.03475809,0.03552609,0.03307378,0.02168199,0.02998731,0.02894815,0.02932134,0.03242359,0.02943704,0.02908072,0.03067175,0.03261741,0.03214139,0.02841259,0.03176997
2373.499,0.02734111,0.0322508,0.02618611,0.03288865,0.02084527,0.02445291,0.02946825,0.02468451,0.02708764,0.03485926,0.03558904,0.03311135,0.02171901,0.02998887,0.02893798,0.02930853,0.03241294,0.02942059,0.02916513,0.03073306,0.03265042,0.03213244,0.02842087,0.03179008
2373.981,0.02737171,0.03231178,0.0262215,0.03296399,0.02087108,0.02450169,0.02953818,0.0247662,0.02715326,0.03494175,0.03563813,0.033141,0.02175551,0.0299967,0.02892507,0.02927873,0.03238048,0.02938923,0.02923603,0.03078521,0.03267546,0.03211828,0.02842231,0.03180254
2374.463,0.02739129,0.0323737,0.02625429,0.03303144,0.02089972,0.02454725,0.02960894,0.02484972,0.02722202,0.03500696,0.03567299,0.03316279,0.02178885,0.0300099,0.02890793,0.02924255,0.032337,0.02935162,0.02929008,0.03082707,0.03269409,0.03209938,0.02841733,0.03180872
2374.946,0.02739875,0.0324299,0.0262832,0.03308565,0.02093577,0.02459151,0.02967999,0.02493601,0.02729214,0.03505705,0.03569379,0.0331776,0.02181885,0.03002475,0.02888625,0.02920813,0.03229297,0.02931461,0.02932493,0.03085544,0.03270454,0.03207634,0.02840622,0.03180805
2375.428,0.02739929,0.03248442,0.02631143,0.0331327,0.02098479,0.0246398,0.02975428,0.02502839,0.02736594,0.03510465,0.0357117,0.03319344,0.02184884,0.03004545,0.02886561,0.0291883,0.03226429,0.02929122,0.02934599,0.03087557,0.03271197,0.03205651,0.02839647,0.03181156
2375.91,0.02739458,0.03253515,0.02634122,0.03317402,0.02104802,0.02469387,0.02982996,0.0251248,0.0274414,0.03515559,0.03573229,0.03321426,0.0218813,0.03007135,0.0288496,0.02918819,0.03225903,0.02928721,0.02935714,0.03088805,0.03271661,0.03204471,0.02839202,0.03182286
2376.392,0.02738892,0.03258703,0.02637549,0.03321707,0.02112358,0.02475479,0.02990665,0.0252228,0.0275181,0.03521744,0.03576415,0.03324469,0.02191854,0.03010566,0.02884277,0.02921133,0.03228138,0.02930686,0.02936545,0.03089762,0.03272216,0.03204738,0.02839942,0.03185003
2376.874,0.02738117,0.03263527,0.02641241,0.03325965,0.02120406,0.02481791,0.0299789,0.02531403,0.02758947,0.03528506,0.03580374,0.03328124,0.02195825,0.03014359,0.02884378,0.02925062,0.03232412,0.02934279,0.02937222,0.03090136,0.03272562,0.03206421,0.02841817,0.03188919
