"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"84cba2dfe5306ee976c473928b84237e","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","midas_g_28475","midas_s_28475"
"de994e7df177f7bcb326c1b225fa8eca","Bacteria","Spirochaetota","Brachyspirae","Brachyspirales","midas_f_1454","Exilispira","midas_s_1454"
"0ce54fb11e2e277d3cf74330974caece","Bacteria","Firmicutes","Bacilli","Bacillales","midas_f_91974","midas_g_91974","midas_s_91974"
"7c0db5238cdccd4dd920f95b97d9c8b4","Bacteria","Firmicutes","Bacilli","Bacillales","midas_f_91974","midas_g_91974","midas_s_91974"
"233ccd8d1de6513d8253430b85880570","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","midas_f_55","midas_g_2538",NA
"c1e0089601da5c63245e446a4aea97a3","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","midas_f_55","midas_g_2538",NA
"bde0dc05ea7e976a5b4526153c1c429f","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","midas_f_55","midas_g_2538",NA
"8c00378af2e08380ead8be3346dbe75a","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","midas_f_1714","midas_g_1714","midas_s_1714"
"8a41a68a9d24931e904670cf59396261","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Thermogutta","midas_s_112812"
"ca81da0a05f3d472c8a9711d8bfe1d41","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Thermogutta","midas_s_1750"
"ec37c448c74e44970f15359ecaa83300","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Thermogutta","midas_s_1750"
"43c0af5886e73eb5f81c2b1781b9a185","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_1071","midas_g_7408","midas_s_26879"
"0dee060f6da6d0d9cb5047ebe9dcc2fc","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_24894","midas_g_61016","midas_s_61016"
"15838fd3779183153cb429297d9b9a26","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_24894","midas_g_61016",NA
"3bff9d3cdd62fc2c08d746bb19e2a82f","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_1071","midas_g_4677","midas_s_4677"
"0017a5cdf3b0d1d4cbe8839bf474fd05","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_1071","midas_g_7408","midas_s_38930"
"099e61f06302a30b755090b99ab13a7f","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_1071","midas_g_7408","midas_s_27423"
"b69e512f03041490817b56ed0757f7b4","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","midas_g_8808","midas_s_8808"
"42db84374f8532e33b41bfc5d5721f42","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA
"c76fdb5613fb7ff416d5169c8fcd1db0","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA
"c667c12ab4e50991886f0c30654e20cd","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera",NA
"d3d8a36b98f51207cbca9cad5de90c06","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera",NA
"046b46267d90e7c11ff7b8cc09f5015c","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,NA
"01f981bc83febdbefde26abd9d1cf4b7","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,NA
"d43993fa70f4aca4fdd93e1c46fb5cd3","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus","midas_s_99522"
"8a8a8947386185fb0bbcb10a4a13bbef","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus","midas_s_99522"
"896d5ef87fe2000a42483bbfeff69bd7","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","midas_s_113018"
"62ee4800a6f5ca7fe864c8f0334da04d","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_44552","midas_s_44552"
"60d3e0ba1bdf9b2beb9d4e6c91693b9c","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,NA
