"","OTU","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"1","cc6fef4d5d68c970c58b81f138d2fea9",-0.00536379065075652,-0.00987945426406147,0.00132221689688596,0.0109980129457003,0.00110970792202422,0.00642728606298786,-0.0101996121252542,0.00540249435611798,0.0502372869846155,0.00606401993236658,0.0106633714899507,-0.0053915354209282,-0.0283904491923632,0.0107965537720961,-0.00260402795846273,0.0186771293074951,0.011736199797676,0.0432360140760517,0.0536691224992388,0.0755593438424416,-0.00717917903297954,0.00691568034693124,-0.0158222436918882,-0.275239241819822
"2","5c33e187ccc986670f1beb60cc0dc7e8",0.0174941063463671,-0.0117133511755823,0.0212665309379247,-0.000952682407365234,-0.00128966948950595,-0.0219818068123871,-0.0192659339983607,0.0069936904343193,-0.00449939877608478,-0.0558886909422034,0.000225576121213066,-0.0165390842465932,0.0331238230557764,-0.00460636506720251,-0.0190259878480185,0.00633146839351669,0.0637011401457419,-0.0149614559128952,-0.0170818937348266,0.0113219379055224,-0.00809914089186843,-0.0109614892077945,-0.0018265380033309,0.266015361805073
"3","7e2190b7678ab8dcae2448220bb25f11",0.00234826491958806,0.00813506568171388,-0.0204989016231394,0.00350379067709183,0.0267466695206708,0.0283096606478613,0.0219439876022164,0.0133559573560749,0.0277064202231441,-0.0327636487979644,0.00691612229802316,-0.00245465940447038,-0.0165255834052023,0.0139424554925146,-0.0302472697110042,-0.0380412440863866,0.00277278011202747,-0.0361946759100295,0.0308811962141663,-0.0542303966309502,0.0238284431179998,-0.00314297857086093,0.00271603735174771,0.322078881485692
"4","786ce4515e3764b7e5a5c4714a1b730b",-0.00340658918078507,-0.00725832355020664,-0.000684114374662232,-0.000682862797373404,-0.00123393299690883,0.0122092595488118,0.00695313808073,0.00656175449677897,0.00835349143125679,0.016930883762624,0.0168741481874353,0.000397818324656685,0.0202870562809344,0.0157588928179008,-0.0168821686454486,0.0494431933280509,0.00474101738166984,0.0425067172837714,-0.0297991710684448,-0.0315302355547263,0.0202549250507319,-0.0166420433041102,0.0979007056224786,0.304371782867701
"5","e409b23e832a7d92703e2bcdc95c3226",-0.00193135360334471,0.0107355436067695,-0.0128518943315956,0.0584840740271402,-0.00440672059227743,-0.0232611253864194,0.000408762721210396,-0.0330127218425607,-0.0287626499544572,0.00858144684204381,0.0315741524078301,-0.0427403895349246,-0.00442789238690089,0.00583962756842597,-0.00216857788376626,-0.00240451630778207,-0.00380098772452933,-0.00324669604683329,-0.00185853426916852,-0.0040848301719852,-0.00133764706128837,-0.00135541641029315,0.000382484621899866,-0.697808617515119
"6","d9b8055d668397f7a1a04b9a97a4110f",-0.00286920317103267,-0.015600851019984,0.00245174412182313,-0.00359634359749117,0.00202474640161898,0.00694783246502767,0.00972839392090438,-0.00316684847370495,-0.00407005915220054,0.0263081403510313,0.016395996122323,0.000629825083997066,0.0434003886556727,-0.040956009072899,0.0326806844471999,-0.0722907528325887,0.0216651452534432,0.0447662137567926,0.0154602748497142,-0.0203037741238671,-0.0182929194342759,0.00161251794294725,-0.000155966057917605,-0.152197762845684
"7","386d5c8e05c97057a083cb2bdafbc883",0.0423519318484884,0.000572002289280181,0.0354303725337283,0.00907951929908697,0.000977273497184174,0.000361724563334156,0.000803845929725136,0.00271639192028108,0.000311670758366772,0.0012970194743786,0.00093115173613321,-0.00156744036877339,0.000253273138695093,0.000990254737891532,-0.00141212823699256,0.00095262846102073,0.000636952410309878,0.00212045996957122,-0.00137408632429561,-0.000991076427006339,0.00179731625160967,-0.000583215336543083,7.80583051626816e-05,-0.025414113527457
"8","d34e7feee1678ba6f8ff6ef7c9153534",-0.00479153770103691,-0.0257046555848098,0.00664761996966643,-0.0087382883081827,0.00245826344927461,-0.00369415940971308,-0.00554147872751725,-0.015357518150032,-0.0241361405458484,0.0197909785611223,-0.0357159233773158,0.00321562758585774,-0.0720691187996383,0.0295893805970464,0.00173621314024011,-0.0131983838165497,0.0269479227339445,0.00537230180523627,-0.0309776364374713,-0.0312640997400271,-0.0233137314398861,0.000361178299587448,-0.00840349978337196,-0.0267092282303363
"9","ae50559bcda323ce4d5e42652a60e4bb",-0.00313812335912634,-0.0122519453666153,0.00202198344868202,0.00188469494047235,0.00158151832308025,-0.0173122782264927,-0.0385117217481666,0.00197924444389538,0.0310802436843501,0.0353791245319397,0.00706149307245106,0.0190570676826705,-0.0470625981948755,0.00227218717538116,0.00323909710484245,-0.024227977663487,0.0101570572271898,-0.0262853426490683,-0.0679021622775656,-0.026700417775454,-0.0149002459318049,-0.00218448488789659,-0.00752923869491108,0.210447999480541
"10","52494b99af0d6aaf588adc8d3759eccc",-0.00327439245116676,-0.0141626152388386,0.00443459378620708,-0.00177885292912669,0.00207923044051192,-0.0214059106824751,-0.0285055568627591,0.00603526178229475,-0.00602901129555799,-0.0447504216203677,-0.000652868607944768,0.00451394503571603,-0.00110514128744262,-0.0182288788935074,0.00700664069915267,0.0119343857129631,-0.0835618971655968,0.0285747024654363,0.0155788073716004,-0.0388046999456986,-0.00833728979204023,0.0300103790854152,-0.00454660158216232,0.19963109275587
