,S537_AD1,S538_AD2,S539_AD3,S540_AD4,S541_AD5,S542_AD6,S958_AD1,S959_AD2,S960_AD3,S961_AD4,S962_AD5,S963_AD6,S1189_AD1,S1190_AD2,S1191_AD3,S1192_AD4,S1193_AD5,S1194_AD6,S1365_AD1,S1366_AD2,S1367_AD3,S1368_AD4,S1369_AD5,S1370_AD6
,#048,#049,#050,#051,#052,#053,#086,#087,#088,#089,#090,#091,#095,#096,#097,#098,#099,#100,#103,#104,#105,#106,#107,#108
2978.083,88.91798,85.70244,90.26038,85.6596,88.7959,88.27625,89.2288,87.49959,88.89509,80.13422,84.48946,86.30866,90.0692,88.0163,89.56277,89.18134,86.82331,87.74866,88.94358,88.42777,87.12362,86.34399,89.25986,86.93502
2978.565,88.94975,85.74579,90.28513,85.69608,88.83368,88.31432,89.25859,87.54063,88.92381,80.18369,84.53252,86.35081,90.10169,88.06268,89.59364,89.21123,86.88297,87.79889,88.97313,88.46584,87.15501,86.37913,89.2975,86.98903
2979.048,88.98062,85.78839,90.30967,85.73225,88.8702,88.3512,89.28741,87.58143,88.95228,80.23152,84.57465,86.3922,90.13367,88.10812,89.62369,89.2401,86.94106,87.84834,89.0027,88.50346,87.18611,86.4136,89.33507,87.0428
2979.53,89.01112,85.83043,90.33419,85.76823,88.90572,88.38712,89.31544,87.62215,88.98048,80.27784,84.6162,86.43272,90.16513,88.15266,89.65288,89.2679,86.99789,87.89725,89.03251,88.54082,87.21723,86.44759,89.37269,87.09656
2980.012,89.0418,85.87212,90.35882,85.80418,88.94051,88.42237,89.34289,87.6629,89.00841,80.32286,84.65748,86.47239,90.19613,88.1964,89.68131,89.29465,87.05373,87.94581,89.06264,88.57796,87.24857,86.48133,89.41035,87.15041
2980.494,89.07298,85.91348,90.38343,85.83984,88.9748,88.45719,89.37002,87.70369,89.03598,80.36668,84.69862,86.51112,90.22658,88.23943,89.70914,89.32059,87.10897,87.99429,89.09301,88.61481,87.28018,86.51485,89.44787,87.20419
2980.976,89.10474,85.95435,90.40778,85.8749,89.00865,88.49163,89.39693,87.74442,89.06314,80.40936,84.73953,86.54889,90.2564,88.28182,89.73657,89.34607,87.16386,88.04283,89.12333,88.65107,87.31187,86.548,89.48477,87.25751
2981.458,89.1368,85.99442,90.43147,85.9089,89.04201,88.52553,89.42357,87.78493,89.0899,80.45086,84.78007,86.58575,90.28534,88.32349,89.7636,89.37136,87.2184,88.09135,89.1532,88.68642,87.34329,86.58051,89.52065,87.30988
2981.94,89.1687,86.03336,90.45413,85.94148,89.07474,88.55867,89.44977,87.82497,89.11622,80.49115,84.81999,86.62181,90.31324,88.36438,89.79019,89.39668,87.27245,88.13968,89.18218,88.72047,87.37402,86.61204,89.55509,87.36092
2982.423,89.19983,86.07099,90.47561,85.97253,89.10677,88.59079,89.47535,87.86433,89.14211,80.53025,84.85921,86.65724,90.33993,88.40428,89.81612,89.422,87.32566,88.18747,89.20999,88.75301,87.40363,86.64227,89.58791,87.41035
2982.905,89.22975,86.1073,90.49597,86.00225,89.13805,88.62178,89.50024,87.9028,89.16757,80.56835,84.89773,86.69228,90.36539,88.44301,89.84111,89.44717,87.37768,88.23435,89.23647,88.78397,87.4318,86.67116,89.61922,87.45818
